timestamp,src_ip,dst_ip,dst_port,packet_size
1736113238.3933127,10.0.0.1,10.0.0.2,80,1007
1736113238.6895418,10.0.0.1,10.0.0.2,80,510
1736113239.0066962,10.0.0.1,10.0.0.2,80,1222
1736113239.3387916,10.0.0.1,10.0.0.2,80,549
1736113239.5202591,10.0.0.1,10.0.0.2,80,842
1736113239.6712048,10.0.0.1,10.0.0.2,80,522
1736113239.8833776,10.0.0.1,10.0.0.2,80,1011
1736113240.198683,10.0.0.1,10.0.0.2,80,1121
1736113240.527072,10.0.0.1,10.0.0.2,80,1038
1736113240.7059815,10.0.0.1,10.0.0.2,80,1326
1736113240.972648,10.0.0.1,10.0.0.2,80,208
1736113241.1341646,10.0.0.1,10.0.0.2,80,751
1736113241.3156226,10.0.0.1,10.0.0.2,80,215
1736113241.6008573,10.0.0.1,10.0.0.2,80,418
1736113241.753194,10.0.0.1,10.0.0.2,80,1194
1736113241.9367106,10.0.0.1,10.0.0.2,80,473
1736113242.1940327,10.0.0.1,10.0.0.2,80,193
1736113242.5089223,10.0.0.1,10.0.0.2,80,1442
1736113242.820505,10.0.0.1,10.0.0.2,80,103
1736113243.1562872,10.0.0.1,10.0.0.2,80,508
1736113243.416642,10.0.0.1,10.0.0.2,80,484
1736113243.6525068,10.0.0.1,10.0.0.2,80,1356
1736113243.95516,10.0.0.1,10.0.0.2,80,165
1736113244.133812,10.0.0.1,10.0.0.2,80,486
1736113244.4051507,10.0.0.1,10.0.0.2,80,649
1736113244.7121992,10.0.0.1,10.0.0.2,80,1227
1736113245.0336757,10.0.0.1,10.0.0.2,80,180
1736113245.2643678,10.0.0.1,10.0.0.2,80,974
1736113245.567936,10.0.0.1,10.0.0.2,80,705
1736113245.8010333,10.0.0.1,10.0.0.2,80,1203
1736113246.096684,10.0.0.1,10.0.0.2,80,1474
1736113246.364067,10.0.0.1,10.0.0.2,80,775
1736113246.5886815,10.0.0.1,10.0.0.2,80,443
1736113246.9225457,10.0.0.1,10.0.0.2,80,1197
1736113247.198623,10.0.0.1,10.0.0.2,80,162
1736113247.3725274,10.0.0.1,10.0.0.2,80,660
1736113247.6053874,10.0.0.1,10.0.0.2,80,1471
1736113247.9446228,10.0.0.1,10.0.0.2,80,294
1736113248.1077647,10.0.0.1,10.0.0.2,80,773
1736113248.321734,10.0.0.1,10.0.0.2,80,1036
1736113248.5646265,10.0.0.1,10.0.0.2,80,956
1736113248.849719,10.0.0.1,10.0.0.2,80,1257
1736113249.1092916,10.0.0.1,10.0.0.2,80,730
1736113249.4444954,10.0.0.1,10.0.0.2,80,240
1736113249.5878987,10.0.0.1,10.0.0.2,80,642
1736113249.8581684,10.0.0.1,10.0.0.2,80,956
1736113250.0966084,10.0.0.1,10.0.0.2,80,650
1736113250.3028195,10.0.0.1,10.0.0.2,80,853
1736113250.6204078,10.0.0.1,10.0.0.2,80,988
1736113250.9036367,10.0.0.1,10.0.0.2,80,203
1736113251.0904226,10.0.0.1,10.0.0.2,80,1088
1736113251.4059107,10.0.0.1,10.0.0.2,80,1258
1736113251.6564705,10.0.0.1,10.0.0.2,80,1143
1736113251.9985878,10.0.0.1,10.0.0.2,80,663
1736113252.152771,10.0.0.1,10.0.0.2,80,805
1736113252.3109531,10.0.0.1,10.0.0.2,80,102
1736113252.5029836,10.0.0.1,10.0.0.2,80,937
1736113252.6830454,10.0.0.1,10.0.0.2,80,1319
1736113252.9737828,10.0.0.1,10.0.0.2,80,1403
1736113253.2222652,10.0.0.1,10.0.0.2,80,889
1736113253.447881,10.0.0.1,10.0.0.2,80,315
1736113253.7724025,10.0.0.1,10.0.0.2,80,980
1736113253.9852087,10.0.0.1,10.0.0.2,80,493
1736113254.1659474,10.0.0.1,10.0.0.2,80,1177
1736113254.4178185,10.0.0.1,10.0.0.2,80,109
1736113254.6026495,10.0.0.1,10.0.0.2,80,325
1736113254.8736436,10.0.0.1,10.0.0.2,80,888
1736113255.051669,10.0.0.1,10.0.0.2,80,1206
1736113255.2098637,10.0.0.1,10.0.0.2,80,591
1736113255.5096211,10.0.0.1,10.0.0.2,80,904
1736113255.7275586,10.0.0.1,10.0.0.2,80,808
1736113256.0708358,10.0.0.1,10.0.0.2,80,532
1736113256.416596,10.0.0.1,10.0.0.2,80,498
1736113256.5938163,10.0.0.1,10.0.0.2,80,1455
1736113256.8643513,10.0.0.1,10.0.0.2,80,1273
1736113257.0914667,10.0.0.1,10.0.0.2,80,1045
1736113257.333384,10.0.0.1,10.0.0.2,80,1367
1736113257.6591153,10.0.0.1,10.0.0.2,80,128
1736113257.93979,10.0.0.1,10.0.0.2,80,1500
1736113258.1796274,10.0.0.1,10.0.0.2,80,53
1736113258.4209404,10.0.0.1,10.0.0.2,80,166
1736113258.7497375,10.0.0.1,10.0.0.2,80,82
1736113258.933105,10.0.0.1,10.0.0.2,80,680
1736113259.1997943,10.0.0.1,10.0.0.2,80,1020
1736113259.4214458,10.0.0.1,10.0.0.2,80,1484
1736113259.7278612,10.0.0.1,10.0.0.2,80,1059
1736113259.9602623,10.0.0.1,10.0.0.2,80,464
1736113260.1277966,10.0.0.1,10.0.0.2,80,526
1736113260.4467013,10.0.0.1,10.0.0.2,80,1106
1736113260.6926007,10.0.0.1,10.0.0.2,80,1127
1736113260.9973817,10.0.0.1,10.0.0.2,80,316
1736113261.2689657,10.0.0.1,10.0.0.2,80,89
1736113261.468161,10.0.0.1,10.0.0.2,80,721
1736113261.6565404,10.0.0.1,10.0.0.2,80,935
1736113261.8338144,10.0.0.1,10.0.0.2,80,1073
1736113261.9797368,10.0.0.1,10.0.0.2,80,214
1736113262.2556763,10.0.0.1,10.0.0.2,80,691
1736113262.415895,10.0.0.1,10.0.0.2,80,1050
1736113262.6046019,10.0.0.1,10.0.0.2,80,1152
1736113262.782981,10.0.0.1,10.0.0.2,80,381
1736113263.0833254,10.0.0.1,10.0.0.2,80,1286
1736113263.2529187,10.0.0.1,10.0.0.2,80,1038
1736113263.5864837,10.0.0.1,10.0.0.2,80,386
1736113263.7358549,10.0.0.1,10.0.0.2,80,858
1736113263.9044702,10.0.0.1,10.0.0.2,80,427
1736113264.113222,10.0.0.1,10.0.0.2,80,605
1736113264.3724964,10.0.0.1,10.0.0.2,80,251
1736113264.622041,10.0.0.1,10.0.0.2,80,428
1736113264.9310105,10.0.0.1,10.0.0.2,80,445
1736113265.1279771,10.0.0.1,10.0.0.2,80,265
1736113265.4014025,10.0.0.1,10.0.0.2,80,177
1736113265.5739887,10.0.0.1,10.0.0.2,80,274
1736113265.7170486,10.0.0.1,10.0.0.2,80,68
1736113265.9651666,10.0.0.1,10.0.0.2,80,323
1736113266.268341,10.0.0.1,10.0.0.2,80,553
1736113266.5178745,10.0.0.1,10.0.0.2,80,619
1736113266.7241051,10.0.0.1,10.0.0.2,80,1181
1736113266.9197547,10.0.0.1,10.0.0.2,80,1026
1736113267.253084,10.0.0.1,10.0.0.2,80,1315
1736113267.3954923,10.0.0.1,10.0.0.2,80,1184
1736113267.652875,10.0.0.1,10.0.0.2,80,1016
1736113267.9817152,10.0.0.1,10.0.0.2,80,763
1736113268.2151978,10.0.0.1,10.0.0.2,80,1018
1736113268.4749298,10.0.0.1,10.0.0.2,80,138
1736113268.630079,10.0.0.1,10.0.0.2,80,1005
1736113268.8557858,10.0.0.1,10.0.0.2,80,1466
1736113268.9971693,10.0.0.1,10.0.0.2,80,606
1736113269.294548,10.0.0.1,10.0.0.2,80,1464
1736113269.640042,10.0.0.1,10.0.0.2,80,420
